SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 12, 1, 1, 0, Accidental, 
1, 38, 1, 1, 13.6857406018416, Accidental, 
1, 47, 1, 1, 10.6953165607186, Accidental, 
1, 48, 1, 1, 14.4715180002553, Accidental, 
1, 85, 1, 1, 17.8780634098247, Accidental, 
1, 87, 1, 1, 13.6483811274174, Accidental, 
1, 89, 1, 1, 17.9553928211091, Accidental, 
1, 100, 1, 1, 28.4456309847748, Accidental, 
1, 101, 1, 1, 32.5153088835608, Accidental, 
1, 103, 1, 1, 30.6205845313597, Accidental, 
1, 105, 1, 1, 31.7068055611029, Accidental, 
1, 106, 1, 1, 24.5720988574126, Accidental, 
1, 115, 1, 1, 28.190523522511, Accidental, 
1, 116, 2, 2, 29.3728961728479, Accidental, 
1, 124, 1, 1, 28.1223982494671, Accidental, 
1, 125, 1, 1, 34.0701259226963, Accidental, 
1, 126, 2, 2, 32.4742867952021, Accidental, 
1, 127, 1, 1, 30.4498476899089, Accidental, 
1, 129, 2, 2, 34.1179080002151, Accidental, 
1, 130, 2, 2, 31.2008036370474, Accidental, 
1, 133, 1, 1, 19.8943466384031, Accidental, 
1, 135, 1, 1, 27.336890625537, Accidental, 
1, 137, 1, 1, 23.3400224457443, Accidental, 
1, 138, 1, 1, 21.231463716684, Accidental, 
1, 145, 1, 1, 25.3757881186158, Accidental, 
1, 152, 1, 1, 27.4222918475053, Accidental, 
1, 153, 1, 1, 30.2040608110478, Accidental, 
1, 154, 2, 2, 32.3536419538907, Accidental, 
1, 155, 1, 1, 31.1126485190216, Accidental, 
1, 157, 1, 1, 31.3295705702954, Accidental, 
1, 158, 1, 1, 28.9561450986426, Accidental, 
1, 161, 1, 1, 30.8673497360036, Accidental, 
1, 170, 1, 1, 27.0875496931784, Accidental, 
1, 176, 1, 1, 31.9455726989988, Accidental, 
1, 180, 1, 1, 27.9032409340635, Accidental, 
1, 182, 1, 1, 29.9402984081487, Accidental, 
1, 185, 2, 2, 33.2512448826546, Accidental, 
1, 186, 3, 3, 46.5557608361248, Accidental, 
1, 187, 2, 2, 42.7046901446111, Accidental, 
1, 188, 2, 2, 38.5046135345403, Accidental, 
1, 189, 2, 2, 36.2730225066946, Accidental, 
1, 190, 2, 2, 30.8927426803512, Accidental, 
1, 191, 1, 1, 27.9894374496402, Lightning, 
1, 192, 1, 1, 27.3970017876665, Accidental, 
1, 194, 1, 1, 28.2851210802116, Accidental, 
1, 201, 1, 1, 24.7717382018026, Accidental, 
1, 202, 1, 1, 25.1336878637708, Accidental, 
1, 205, 2, 2, 36.0739236869752, Accidental, 
1, 208, 2, 2, 37.6792413191689, Accidental, 
1, 218, 2, 2, 43.43111200019, Accidental, 
1, 219, 3, 3, 41.1544369788856, Accidental, 
1, 227, 1, 1, 27.206878020765, Accidental, 
1, 230, 1, 1, 26.8475447358821, Accidental, 
1, 231, 1, 1, 32.1657284077461, Accidental, 
1, 232, 1, 1, 33.5647322904667, Accidental, 
1, 233, 2, 2, 31.3523468864467, Accidental, 
1, 235, 1, 1, 30.1304707559929, Accidental, 
1, 236, 2, 2, 28.7760487954144, Accidental, 
1, 239, 1, 1, 35.2968602750326, Accidental, 
1, 241, 2, 2, 37.3401862233223, Accidental, 
1, 242, 2, 2, 36.7677875758771, Accidental, 
1, 247, 1, 1, 25.2231028508244, Accidental, 
1, 249, 1, 1, 26.821316112576, Accidental, 
1, 255, 1, 1, 35.3712097518113, Lightning, 
1, 257, 2, 2, 40.0809251741187, Accidental, 
1, 260, 2, 2, 39.3402316864819, Accidental, 
1, 264, 1, 1, 32.8512026702318, Lightning, 
1, 269, 1, 1, 30.2264979310356, Accidental, 
1, 271, 1, 1, 34.6693651568981, Accidental, 
1, 274, 1, 1, 26.2093653758893, Accidental, 
1, 275, 1, 1, 23.3940448084233, Accidental, 
1, 284, 1, 1, 20.0200966398287, Accidental, 
1, 286, 1, 1, 16.7704633900491, Accidental, 
1, 287, 2, 2, 39.3652851759871, Accidental, 
1, 290, 1, 1, 35.7156882260256, Accidental, 
1, 291, 2, 2, 41.6875355958392, Accidental, 
1, 292, 2, 2, 34.7886731644314, Accidental, 
1, 298, 1, 1, 29.2567557488679, Accidental, 
1, 299, 2, 2, 29.7831604756978, Accidental, 
1, 300, 1, 1, 31.1286898047126, Accidental, 
1, 302, 1, 1, 27.7391998995113, Accidental, 
1, 304, 2, 2, 36.683477394127, Accidental, 
1, 305, 2, 2, 33.5230502176514, Accidental, 
1, 306, 2, 2, 34.006449126293, Accidental, 
1, 308, 2, 2, 32.3059372320575, Accidental, 
1, 310, 1, 1, 25.9555607498864, Accidental, 
1, 312, 4, 4, 51.2550497358807, Accidental, 
1, 314, 2, 2, 43.6977498050163, Accidental, 
1, 315, 5, 5, 56.0481432553749, Accidental, 
1, 316, 5, 5, 57.6593741555291, Accidental, 
1, 317, 4, 4, 52.5046083103172, Accidental, 
1, 318, 3, 3, 43.1331420443905, Accidental, 
1, 319, 2, 2, 35.9843756572101, Accidental, 
1, 325, 1, 1, 22.9565157693483, Accidental, 
1, 330, 1, 1, 24.4007761324045, Accidental, 
1, 333, 1, 1, 21.3274940413573, Accidental, 
2, 72, 1, 1, 11.7998769579733, Accidental, 
2, 100, 1, 1, 18.6701873101222, Accidental, 
2, 101, 1, 1, 17.6829735886814, Accidental, 
2, 104, 1, 1, 13.0242254584665, Accidental, 
2, 108, 1, 1, 9.99796370986146, Accidental, 
2, 111, 1, 1, 18.752734689035, Accidental, 
2, 116, 1, 1, 15.3144057042162, Lightning, 
2, 120, 1, 1, 13.6427606454243, Accidental, 
2, 126, 1, 1, 17.5523681168168, Accidental, 
2, 135, 1, 1, 16.9005937961346, Accidental, 
2, 137, 1, 1, 21.4358712233484, Accidental, 
2, 141, 1, 1, 30.2981435595993, Accidental, 
2, 143, 1, 1, 27.4543361981464, Accidental, 
2, 147, 1, 1, 28.3832952932839, Accidental, 
2, 150, 2, 2, 28.1088189545248, Accidental, 
2, 153, 1, 1, 24.5367150381622, Accidental, 
2, 155, 1, 1, 23.8313233722466, Accidental, 
2, 157, 1, 1, 22.2772498769322, Accidental, 
2, 165, 1, 1, 24.5907080988145, Accidental, 
2, 167, 1, 1, 25.2767891872563, Accidental, 
2, 177, 2, 2, 33.1118827043254, Accidental, 
2, 178, 2, 2, 35.0702499015933, Accidental, 
2, 181, 2, 2, 37.9866923005772, Accidental, 
2, 182, 1, 1, 38.9343809279161, Accidental, 
2, 183, 2, 2, 38.3683262110112, Accidental, 
2, 184, 2, 2, 36.6173789318403, Accidental, 
2, 185, 2, 2, 37.9656371973992, Accidental, 
2, 186, 2, 2, 37.4009806417885, Accidental, 
2, 187, 2, 2, 32.7003481689095, Accidental, 
2, 190, 2, 2, 33.1431211454979, Accidental, 
2, 190, 1, 1, 33.1431211454979, Lightning, 
2, 192, 2, 2, 35.9443206194926, Accidental, 
2, 193, 1, 1, 34.0857730486531, Accidental, 
2, 195, 1, 1, 36.0638424889178, Accidental, 
2, 196, 2, 2, 35.3149651564902, Accidental, 
2, 198, 2, 2, 32.5003349641704, Accidental, 
2, 200, 1, 1, 27.2332736171904, Accidental, 
2, 201, 2, 2, 30.0159496542817, Accidental, 
2, 202, 1, 1, 29.2163172551621, Accidental, 
2, 204, 1, 1, 31.0335757686223, Accidental, 
2, 212, 1, 1, 22.9374053167437, Accidental, 
2, 213, 1, 1, 23.5733361668288, Accidental, 
2, 218, 1, 1, 32.8133738979999, Accidental, 
2, 219, 1, 1, 34.5363032591858, Accidental, 
2, 220, 1, 1, 35.6018962364559, Accidental, 
2, 221, 2, 2, 35.9439394287105, Accidental, 
2, 223, 2, 2, 42.8557427104497, Accidental, 
2, 227, 2, 2, 35.73310458267, Accidental, 
2, 231, 2, 2, 31.578561912604, Accidental, 
2, 232, 1, 1, 27.5030968756483, Accidental, 
2, 236, 1, 1, 26.3199621492802, Accidental, 
2, 237, 1, 1, 29.0530944861803, Accidental, 
2, 240, 1, 1, 28.6185377430948, Accidental, 
2, 241, 1, 1, 27.9410073921538, Accidental, 
2, 249, 1, 1, 30.7259850439474, Accidental, 
2, 251, 2, 2, 32.3278250746303, Accidental, 
2, 255, 2, 2, 27.960470625641, Accidental, 
2, 258, 1, 1, 32.0294908493984, Accidental, 
2, 261, 2, 2, 33.8719554779288, Accidental, 
2, 264, 2, 2, 35.5795923684055, Accidental, 
2, 265, 1, 1, 38.6834830330013, Accidental, 
2, 267, 1, 1, 25.2761458939734, Accidental, 
2, 269, 1, 1, 29.3233540459689, Accidental, 
2, 273, 2, 2, 28.9465445605878, Accidental, 
2, 280, 1, 1, 22.9240198084842, Accidental, 
2, 286, 1, 1, 31.1579819270909, Accidental, 
2, 287, 1, 1, 32.4230009762797, Accidental, 
2, 294, 2, 2, 37.3001369489516, Accidental, 
2, 296, 2, 2, 39.5166966065064, Accidental, 
2, 297, 3, 3, 50.8129131614811, Accidental, 
2, 298, 4, 4, 56.6652805374646, Accidental, 
2, 300, 2, 2, 45.8448831829541, Accidental, 
2, 301, 4, 4, 51.7841642391201, Accidental, 
2, 302, 2, 2, 40.9871302200611, Accidental, 
2, 303, 1, 1, 26.6072522963564, Accidental, 
2, 307, 1, 1, 16.8905676311698, Accidental, 
2, 308, 1, 1, 16.4498655809025, Accidental, 
2, 312, 1, 1, 22.9531580755851, Accidental, 
2, 324, 1, 1, 31.4373787815385, Accidental, 
2, 325, 2, 2, 32.6227185138871, Accidental, 
2, 326, 1, 1, 35.4506227646384, Accidental, 
2, 327, 1, 1, 29.3665472716238, Accidental, 
2, 330, 2, 2, 32.5212951248722, Accidental, 
2, 361, 1, 1, 0, Accidental, 
3, 70, 1, 1, 9.7123199687261, Accidental, 
3, 99, 1, 1, 14.9924036129771, Accidental, 
3, 101, 1, 1, 15.352122407457, Accidental, 
3, 104, 1, 1, 18.2495277199381, Accidental, 
3, 112, 1, 1, 19.6985655399051, Accidental, 
3, 115, 1, 1, 13.9950913465358, Accidental, 
3, 123, 1, 1, 14.9060608555546, Accidental, 
3, 124, 1, 1, 19.8314742670185, Accidental, 
3, 125, 1, 1, 18.2116581840961, Accidental, 
3, 138, 1, 1, 19.5390235960323, Accidental, 
3, 140, 1, 1, 23.0240976093654, Accidental, 
3, 141, 1, 1, 27.9645899288469, Accidental, 
3, 142, 1, 1, 30.3764155697507, Accidental, 
3, 143, 1, 1, 29.1865345037107, Accidental, 
3, 144, 1, 1, 27.2655454708865, Accidental, 
3, 148, 1, 1, 28.3634299854734, Accidental, 
3, 151, 1, 1, 25.1832652915518, Accidental, 
3, 154, 1, 1, 20.2751186091224, Accidental, 
3, 155, 1, 1, 23.5490022628542, Accidental, 
3, 164, 1, 1, 26.0026511750461, Accidental, 
3, 166, 1, 1, 29.2828745857852, Accidental, 
3, 170, 1, 1, 29.2993329499389, Accidental, 
3, 173, 2, 2, 38.1114983092679, Accidental, 
3, 175, 2, 2, 39.1842729447284, Accidental, 
3, 179, 1, 1, 30.462407116352, Accidental, 
3, 183, 1, 1, 34.7724710412982, Accidental, 
3, 184, 2, 2, 34.597025668243, Accidental, 
3, 186, 1, 1, 34.4745888891863, Accidental, 
3, 188, 2, 2, 35.4418592221401, Accidental, 
3, 190, 1, 1, 31.3544462622934, Accidental, 
3, 194, 2, 2, 41.6321025176208, Accidental, 
3, 197, 2, 2, 38.8239052566647, Accidental, 
3, 198, 2, 2, 36.6117936910773, Accidental, 
3, 202, 2, 2, 32.1599408067678, Accidental, 
3, 203, 1, 1, 33.8591415048411, Accidental, 
3, 204, 1, 1, 27.1745287991751, Lightning, 
3, 205, 1, 1, 26.0703697705446, Accidental, 
3, 207, 1, 1, 27.078094426281, Accidental, 
3, 209, 1, 1, 29.3698450491687, Accidental, 
3, 211, 1, 1, 27.3821698949113, Accidental, 
3, 215, 1, 1, 26.4671211157153, Accidental, 
3, 218, 1, 1, 28.998842927241, Accidental, 
3, 224, 1, 1, 27.8320150183146, Accidental, 
3, 226, 1, 1, 25.5133491765065, Accidental, 
3, 228, 1, 1, 26.3319151614641, Accidental, 
3, 229, 1, 1, 27.7469169567513, Accidental, 
3, 231, 1, 1, 24.8682854633008, Accidental, 
3, 233, 1, 1, 33.3288034307157, Accidental, 
3, 234, 2, 2, 35.7966633615804, Accidental, 
3, 235, 2, 2, 36.2731723222015, Accidental, 
3, 238, 1, 1, 34.286931478649, Lightning, 
3, 242, 1, 1, 37.8300188316868, Accidental, 
3, 244, 2, 2, 33.0473046224281, Accidental, 
3, 246, 1, 1, 32.8756920696422, Accidental, 
3, 247, 2, 2, 33.2766574181847, Accidental, 
3, 250, 2, 2, 39.0666154457892, Accidental, 
3, 251, 1, 1, 37.8818509787893, Accidental, 
3, 252, 1, 1, 29.2176121176658, Accidental, 
3, 257, 1, 1, 25.4747031415566, Accidental, 
3, 262, 1, 1, 26.5256406546026, Accidental, 
3, 263, 1, 1, 25.1744077505784, Accidental, 
3, 265, 1, 1, 29.9857300423898, Accidental, 
3, 266, 1, 1, 30.4517807774904, Accidental, 
3, 267, 1, 1, 30.5388805903309, Accidental, 
3, 268, 1, 1, 34.0396667354754, Accidental, 
3, 269, 1, 1, 33.6246741667342, Accidental, 
3, 270, 2, 2, 39.4961586792836, Accidental, 
3, 271, 2, 2, 34.8730719909191, Accidental, 
3, 272, 2, 2, 39.3418198769622, Accidental, 
3, 273, 2, 2, 41.6324913223352, Accidental, 
3, 276, 2, 2, 34.6653416251982, Accidental, 
3, 277, 2, 2, 43.4631621599271, Accidental, 
3, 279, 2, 2, 42.7253635925034, Accidental, 
3, 282, 1, 1, 30.1140468544815, Accidental, 
3, 285, 2, 2, 32.2941898418599, Accidental, 
3, 288, 2, 2, 30.8516676736921, Accidental, 
3, 293, 1, 1, 14.5154268355666, Accidental, 
3, 295, 1, 1, 15.5105246658557, Accidental, 
3, 304, 2, 2, 32.9974379570023, Accidental, 
3, 305, 2, 2, 42.0179439940279, Accidental, 
3, 305, 4, 4, 42.0179439940279, Lightning, 
3, 306, 1, 1, 34.0203669005578, Accidental, 
3, 311, 1, 1, 25.4937516023532, Accidental, 
3, 312, 1, 1, 20.4104119181761, Accidental, 
3, 318, 1, 1, 38.5331097013055, Accidental, 
3, 319, 2, 2, 40.382081335486, Accidental, 
3, 321, 3, 3, 49.4238343237973, Accidental, 
3, 322, 3, 3, 44.0492433020878, Accidental, 
3, 323, 2, 2, 45.065881515532, Accidental, 
3, 324, 2, 2, 40.958877927943, Accidental, 
3, 329, 1, 1, 33.7448594910824, Accidental, 
4, 85, 1, 1, 15.3126456547122, Lightning, 
4, 90, 1, 1, 16.5757171081071, Lightning, 
4, 96, 1, 1, 23.7691448758569, Accidental, 
4, 110, 1, 1, 24.2805646084676, Accidental, 
4, 111, 1, 1, 23.6257559159158, Accidental, 
4, 116, 1, 1, 25.5856445419318, Accidental, 
4, 119, 1, 1, 29.4418213594241, Accidental, 
4, 121, 1, 1, 26.8270199613597, Accidental, 
4, 134, 1, 1, 25.8576153752434, Lightning, 
4, 137, 1, 1, 19.2301670122833, Accidental, 
4, 138, 1, 1, 26.5650829621846, Accidental, 
4, 139, 2, 2, 28.4316134453402, Accidental, 
4, 141, 1, 1, 29.220738531772, Accidental, 
4, 146, 1, 1, 22.8563752432068, Accidental, 
4, 148, 1, 1, 24.5985800682222, Accidental, 
4, 157, 1, 1, 26.9245937207192, Accidental, 
4, 158, 1, 1, 28.8404486120655, Accidental, 
4, 164, 1, 1, 28.1113809630652, Accidental, 
4, 166, 1, 1, 30.8975001412302, Accidental, 
4, 167, 1, 1, 32.1499926320916, Accidental, 
4, 170, 1, 1, 35.9205024244934, Accidental, 
4, 171, 1, 1, 37.1139884493533, Accidental, 
4, 172, 2, 2, 36.0229400144491, Accidental, 
4, 173, 1, 1, 34.011935262879, Accidental, 
4, 174, 2, 2, 35.8037161857486, Accidental, 
4, 175, 2, 2, 38.6345885337901, Accidental, 
4, 176, 4, 4, 49.4262228800185, Accidental, 
4, 177, 3, 3, 47.1981989936763, Accidental, 
4, 178, 2, 2, 39.5947932586934, Accidental, 
4, 179, 2, 2, 32.7973161495806, Accidental, 
4, 181, 1, 1, 31.5595190858535, Accidental, 
4, 185, 2, 2, 34.8149119243068, Accidental, 
4, 187, 2, 2, 36.0319500694732, Accidental, 
4, 188, 1, 1, 37.2162338306061, Accidental, 
4, 191, 1, 1, 29.4968521175413, Accidental, 
4, 193, 1, 1, 30.2725708591472, Accidental, 
4, 195, 2, 2, 32.5877066483228, Accidental, 
4, 197, 1, 1, 31.3660575982476, Accidental, 
4, 198, 1, 1, 29.4855035557862, Accidental, 
4, 200, 1, 1, 31.1641856460566, Accidental, 
4, 203, 2, 2, 31.1775142094618, Accidental, 
4, 206, 1, 1, 26.1518440542198, Accidental, 
4, 206, 1, 1, 26.1518440542198, Lightning, 
4, 207, 1, 1, 28.1234495836506, Accidental, 
4, 210, 1, 1, 27.7845166098266, Accidental, 
4, 212, 1, 1, 32.0424686026643, Accidental, 
4, 214, 1, 1, 25.382770500034, Accidental, 
4, 215, 1, 1, 27.5442864935439, Accidental, 
4, 218, 1, 1, 26.3076754027635, Accidental, 
4, 220, 2, 2, 29.6951561976249, Accidental, 
4, 230, 1, 1, 25.6094524807094, Accidental, 
4, 232, 1, 1, 26.8718903450771, Accidental, 
4, 237, 1, 1, 27.4788186957896, Accidental, 
4, 238, 1, 1, 33.219728548995, Lightning, 
4, 240, 1, 1, 34.10175360308, Accidental, 
4, 243, 2, 2, 37.4755471027151, Lightning, 
4, 244, 2, 2, 42.4812981014083, Accidental, 
4, 246, 1, 1, 23.6969453393471, Accidental, 
4, 248, 1, 1, 27.3024902727622, Accidental, 
4, 249, 1, 1, 28.7441859924238, Accidental, 
4, 250, 2, 2, 28.1813945475129, Accidental, 
4, 261, 2, 2, 26.2928408925074, Accidental, 
4, 263, 1, 1, 26.501124655201, Accidental, 
4, 269, 1, 1, 32.1995579487777, Accidental, 
4, 272, 1, 1, 36.0204723824986, Accidental, 
4, 273, 1, 1, 33.1450139726162, Accidental, 
4, 274, 1, 1, 29.8132652959058, Accidental, 
4, 275, 2, 2, 28.5489790203517, Accidental, 
4, 279, 2, 2, 43.4135578583151, Accidental, 
4, 279, 5, 5, 43.4135578583151, Lightning, 
4, 280, 2, 2, 41.9042136222695, Accidental, 
4, 281, 3, 3, 48.8089510557843, Accidental, 
4, 286, 1, 1, 35.5023740524209, Accidental, 
4, 287, 2, 2, 39.5367920316714, Accidental, 
4, 289, 2, 2, 41.7476962301479, Accidental, 
4, 290, 2, 2, 37.6342366550386, Accidental, 
4, 291, 1, 1, 35.7191049155038, Lightning, 
4, 292, 2, 2, 30.0695728630261, Accidental, 
4, 293, 1, 1, 28.7695283199468, Accidental, 
4, 294, 2, 2, 41.1803703994901, Accidental, 
4, 295, 5, 5, 56.7047057695669, Accidental, 
4, 296, 6, 6, 61.6717781587314, Accidental, 
4, 297, 3, 3, 46.424333538476, Accidental, 
4, 298, 2, 2, 40.6800204322539, Accidental, 
4, 299, 2, 2, 39.228699185193, Accidental, 
4, 301, 1, 1, 32.36873525045, Accidental, 
4, 302, 1, 1, 27.789376390646, Accidental, 
4, 308, 1, 1, 24.7679093201644, Accidental, 
4, 309, 1, 1, 24.1196268790794, Accidental, 
4, 314, 1, 1, 21.1805749044826, Accidental, 
4, 316, 2, 2, 28.8731349790301, Accidental, 
4, 317, 1, 1, 29.8673268086273, Accidental, 
4, 321, 1, 1, 24.1560872380115, Accidental, 
4, 323, 1, 1, 33.5499473195106, Lightning, 
4, 324, 2, 2, 36.3963272649296, Accidental, 
4, 325, 2, 2, 39.2876899231017, Accidental, 
4, 329, 1, 1, 32.1029064721997, Lightning, 
4, 330, 1, 1, 32.4289144641619, Accidental, 
5, 36, 1, 1, 5.55842441941452, Accidental, 
5, 48, 1, 1, 13.5488658979467, Accidental, 
5, 68, 1, 1, 12.3017462333201, Accidental, 
5, 82, 1, 1, 14.6268994650992, Accidental, 
5, 87, 1, 1, 23.5595050320899, Accidental, 
5, 88, 1, 1, 25.4725853396528, Accidental, 
5, 108, 1, 1, 17.0988058056195, Lightning, 
5, 113, 1, 1, 24.0272108998485, Accidental, 
5, 117, 4, 4, 51.6503596160413, Accidental, 
5, 119, 1, 1, 25.2185887433856, Accidental, 
5, 121, 1, 1, 29.9444863273355, Accidental, 
5, 122, 1, 1, 37.0971765769843, Accidental, 
5, 123, 2, 2, 43.9445829504613, Accidental, 
5, 125, 2, 2, 38.3802813975164, Accidental, 
5, 126, 1, 1, 34.8328929786785, Accidental, 
5, 130, 1, 1, 31.7309810459349, Accidental, 
5, 132, 1, 1, 25.9418490640441, Accidental, 
5, 133, 1, 1, 28.7741030959009, Accidental, 
5, 137, 1, 1, 29.5949174169604, Accidental, 
5, 153, 1, 1, 31.6978002318423, Accidental, 
5, 154, 1, 1, 30.3587978147029, Accidental, 
5, 157, 1, 1, 31.9030156038156, Accidental, 
5, 158, 1, 1, 28.1932057450576, Accidental, 
5, 159, 1, 1, 28.001246119399, Accidental, 
5, 162, 1, 1, 25.4541435675001, Accidental, 
5, 163, 1, 1, 27.0335361480237, Accidental, 
5, 165, 1, 1, 28.6179354496018, Accidental, 
5, 170, 1, 1, 27.1004757495508, Accidental, 
5, 175, 2, 2, 27.7064090277565, Accidental, 
5, 179, 1, 1, 27.7736856668666, Accidental, 
5, 180, 1, 1, 25.6859156122527, Accidental, 
5, 185, 1, 1, 26.7136651425195, Accidental, 
5, 186, 1, 1, 27.9917460980462, Accidental, 
5, 190, 1, 1, 31.9292331257802, Accidental, 
5, 191, 2, 2, 33.0330884734187, Accidental, 
5, 193, 2, 2, 36.9487983242512, Accidental, 
5, 194, 2, 2, 37.1921292378398, Accidental, 
5, 196, 1, 1, 35.3042254138557, Accidental, 
5, 203, 2, 2, 35.5320241245617, Accidental, 
5, 206, 1, 1, 34.4294027092223, Accidental, 
5, 208, 1, 1, 35.4516688959363, Accidental, 
5, 210, 1, 1, 37.416894948669, Accidental, 
5, 213, 1, 1, 33.5067967151814, Lightning, 
5, 214, 2, 2, 31.2238542766898, Accidental, 
5, 217, 1, 1, 31.066312978947, Lightning, 
5, 218, 1, 1, 31.0506725030684, Accidental, 
5, 222, 2, 2, 35.9704638962965, Accidental, 
5, 223, 2, 2, 38.2315723220292, Accidental, 
5, 228, 1, 1, 26.1295046245584, Accidental, 
5, 229, 1, 1, 28.8053829983913, Accidental, 
5, 230, 1, 1, 29.5182079140023, Accidental, 
5, 232, 2, 2, 29.8996671269018, Accidental, 
5, 233, 1, 1, 29.7247607877144, Accidental, 
5, 235, 1, 1, 25.8327917983189, Accidental, 
5, 240, 2, 2, 30.8612535711009, Accidental, 
5, 244, 3, 3, 44.9631815984038, Accidental, 
5, 245, 3, 3, 46.6587659913985, Accidental, 
5, 247, 1, 1, 36.6295271418586, Accidental, 
5, 250, 2, 2, 38.0967553144888, Accidental, 
5, 251, 2, 2, 36.3407554603126, Accidental, 
5, 254, 1, 1, 35.3416374297137, Accidental, 
5, 257, 1, 1, 27.5239415948902, Accidental, 
5, 258, 1, 1, 28.4582637891493, Accidental, 
5, 259, 1, 1, 31.8303558523712, Accidental, 
5, 262, 1, 1, 27.6077737933258, Lightning, 
5, 263, 1, 1, 36.2589200223997, Accidental, 
5, 264, 2, 2, 42.0955901617806, Accidental, 
5, 265, 2, 2, 40.6427054767467, Accidental, 
5, 266, 2, 2, 41.2141657121351, Accidental, 
5, 268, 2, 2, 41.2916728022962, Accidental, 
5, 269, 3, 3, 42.0480372428113, Accidental, 
5, 270, 2, 2, 40.4162634298929, Accidental, 
5, 271, 2, 2, 32.2821473338662, Accidental, 
5, 277, 1, 1, 25.9333043611578, Accidental, 
5, 278, 1, 1, 29.1254304265818, Accidental, 
5, 282, 1, 1, 30.1025710598756, Accidental, 
5, 283, 1, 1, 25.4500687346533, Accidental, 
5, 287, 1, 1, 30.3475864900405, Accidental, 
5, 290, 1, 1, 21.6464721515876, Accidental, 
5, 305, 2, 2, 26.1269832313069, Accidental, 
5, 306, 1, 1, 23.6394337932619, Accidental, 
5, 317, 1, 1, 19.5639219539974, Accidental, 
5, 321, 1, 1, 17.5007675762584, Accidental, 
5, 324, 1, 1, 17.6771597293449, Accidental, 
5, 326, 1, 1, 13.3251584638228, Accidental, 
5, 332, 1, 1, 28.1565172369382, Accidental, 
5, 351, 1, 1, 0, Accidental, 
6, 78, 1, 1, 14.0342285335585, Accidental, 
6, 79, 1, 1, 14.5059213302533, Accidental, 
6, 80, 1, 1, 17.8887424169112, Accidental, 
6, 87, 1, 1, 22.1735980645082, Accidental, 
