Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, 3, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 4, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 5, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 11, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 15, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 17, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 18, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 19, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 20, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 21, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 51, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 52, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 58, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 59, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 61, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 62, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 63, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 64, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 65, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 66, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 68, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 69, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 81, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 93, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 96, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 101, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 103, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 104, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 106, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 108, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 109, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 113, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 114, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 116, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 117, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 118, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 119, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 122, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 124, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 127, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 133, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 134, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 135, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 137, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 140, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 141, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 142, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 143, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 201, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 202, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 211, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 212, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 242, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 263, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 264, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 312, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 313, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 321, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 322, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 351, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 352, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 353, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 361, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 362, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 375, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 404, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 461, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 462, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 463, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 475, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 540, eco7, 1, 0.76, 1, 0, 0, 267, 0, 282, 
1, 542, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 544, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 547, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 549, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 602, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 603, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 604, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 605, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 606, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 631, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 730, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 732, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 742, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 745, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 746, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 747, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 748, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 749, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 763, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 766, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 768, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 801, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 803, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 805, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 807, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 810, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 811, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 814, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 815, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 818, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 821, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 823, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 826, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 827, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 829, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 834, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 835, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 838, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 839, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 843, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 846, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 847, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 901, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 972, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 973, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 974, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 975, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 981, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 73, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 3, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 4, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 5, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 11, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 15, eco7, 1, 0, 1, 0.35, 0, 298, 0, 365, 
2, 17, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 18, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 19, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 20, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 21, eco7, 1, 0, 1, 0.32, 0, 298, 0, 365, 
2, 51, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 52, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 58, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 59, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 61, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 62, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 63, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 64, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 65, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 66, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 68, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 69, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 81, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 93, eco7, 1, 0, 1, 0, 0, 298, 0, 365, 
2, 96, eco7, 1, 0, 1, 0, 0, 298, 0, 365, 
2, 101, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 103, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 104, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 106, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 108, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 109, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 113, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 114, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 116, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 117, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 118, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 119, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 122, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 124, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 127, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 133, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 134, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 135, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 137, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 140, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 141, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 142, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 143, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 201, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 202, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 211, eco7, 1, 0, 1, 0, 0, 298, 0, 365, 
2, 212, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 242, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 263, eco7, 1, 0, 1, 0.08, 0, 298, 0, 365, 
2, 264, eco7, 1, 0, 1, 0.08, 0, 298, 0, 365, 
2, 312, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 313, eco7, 1, 0, 1, 0, 0, 298, 0, 365, 
2, 321, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 322, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 351, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 352, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 353, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 361, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 362, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 375, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 404, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 461, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 462, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 463, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 475, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 540, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 542, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 544, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 547, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 549, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 602, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 603, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 604, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 605, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 606, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 631, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 730, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 732, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 742, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 745, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 746, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 747, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 748, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 749, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 763, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 766, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 768, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 801, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 803, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 805, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 807, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 810, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 811, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 814, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 815, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 818, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 821, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 823, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 826, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 827, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 829, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 834, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 835, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 838, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 839, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 843, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 846, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 847, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 901, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 972, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 973, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 974, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 975, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 981, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 73, eco7, 1, 0, 1, 0, 0, 298, 0, 365, 
